indicator_id,name,measure,how_calculated,source_list
1147,NYC Agency Use of Herbicides,Parks (Golf Course) Solids,"<p>Sum of pounds of solid pesticide applications made on NYC public golf courses that meet the following qualifications: classified as fungistat, fungicide, fungicide/fungistat, or fungicide/nematicide. Excludes products classified as disinfectant, sanitizer, microbicide, microbicide/microbistat, insect growth regulator, insecticide, miticide, or termiticide.</p>",Bureau of Environmental Surveillance and Policy (BESP) Combined Analytic Data Set; New York City Pesticide Use Reporting System (NYCPURS)
1144,NYC Agency Use of Herbicides,Parks (Excluding Golf Course) Solids,"<p>Sum of pounds of solid pesticide applications made by&nbsp;the Departmant of Parks and Recreation (Parks)&nbsp;or&nbsp;its contractors that meet the following qualifications: classified as fungistat, fungicide, fungicide/fungistat, or fungicide/nematicide. Excludes products classified as disinfectant, sanitizer, microbicide, microbicide/microbistat, insect growth regulator, insecticide, miticide, or termiticide. Total excludes all applications made on NYC public golf courses.</p>",Bureau of Environmental Surveillance and Policy (BESP) Combined Analytic Data Set; New York City Pesticide Use Reporting System (NYCPURS)
1123,NYC Agency Use of Fungicides,Parks (Excluding Golf Course) Solids,"<p>Sum of pounds of solid pesticide applications made by&nbsp;the Departmant of Parks and Recreation (Parks)&nbsp;or&nbsp;its contractors that meet the following qualifications: classified as fungistat, fungicide, fungicide/fungistat, or fungicide/nematicide. Excludes products classified as disinfectant, sanitizer, microbicide, microbicide/microbistat, insect growth regulator, insecticide, miticide, or termiticide. Total excludes all applications made on NYC public golf courses.</p>",Bureau of Environmental Surveillance and Policy (BESP) Combined Analytic Data Set; New York City Pesticide Use Reporting System (NYCPURS)
1136,NYC Agency Use of Glyphosate,All Agency Liquids,"<p>Sum of gallons of liquid pesticide applications made by NYC agencies or their contractors that contain the following chemicals: Glyphosate; Glyphosate, isopropylamine salt; Glyphosate, sodium sesqui salt; Glyphosate, monoammonium salt; Glyphosate, ethanolamine salt; Glyphosate, diammonium salt; Glyphosate, dimethylammonium salt; Glyphosate, potassium salt or Glyphosate-trimesium.</p>",Bureau of Environmental Surveillance and Policy (BESP) Combined Analytic Data Set; New York City Pesticide Use Reporting System (NYCPURS)
1119,NYC Agency Use of Fungicides,All Agency Liquids,"<p>Sum of gallons of liquid pesticide applications made by NYC agencies or their contractors that meet the following qualifications: classified as fungistat, fungicide, fungicide/fungistat, or fungicide/nematicide. Excludes products classified as disinfectant, sanitizer, microbicide, microbicide/microbistat, insect growth regulator, insecticide, miticide, or termiticide.</p>",Bureau of Environmental Surveillance and Policy (BESP) Combined Analytic Data Set; New York City Pesticide Use Reporting System (NYCPURS)
1140,NYC Agency Use of Herbicides,All Agency Liquids,"<p>Sum of gallons of liquid pesticide applications made by NYC agencies or their contractors that meet the following qualifications: classified as fertilizer, herbicide, defoliant, herbicide terrestrial, herbicide aquatic, or plant growth regulator.</p>",Bureau of Environmental Surveillance and Policy (BESP) Combined Analytic Data Set; New York City Pesticide Use Reporting System (NYCPURS)
1150,NYC Agency Use of Insecticides,All Agency Liquids,"<p>Sum of gallons of liquid pesticide applications made by NYC agencies or their contractors that meet the following qualifications: classified as insect growth regulator, insecticide, miticide, mechanical, or termiticide.</p>",Bureau of Environmental Surveillance and Policy (BESP) Combined Analytic Data Set; New York City Pesticide Use Reporting System (NYCPURS)
1146,NYC Agency Use of Herbicides,Parks (Golf Course) Liquids,"<p>Sum of gallons of liquid pesticide applications made on NYC public golf courses that meet the following qualifications: classified as fungistat, fungicide, fungicide/fungistat, or fungicide/nematicide. Excludes products classified as disinfectant, sanitizer, microbicide, microbicide/microbistat, insect growth regulator, insecticide, miticide, or termiticide.</p>",Bureau of Environmental Surveillance and Policy (BESP) Combined Analytic Data Set; New York City Pesticide Use Reporting System (NYCPURS)
1125,NYC Agency Use of Fungicides,Parks (Golf Course) Liquids,"<p>Sum of gallons of liquid pesticide applications made on NYC public golf courses that meet the following qualifications: classified as fungistat, fungicide, fungicide/fungistat, or fungicide/nematicide. Excludes products classified as disinfectant, sanitizer, microbicide, microbicide/microbistat, insect growth regulator, insecticide, miticide, or termiticide.</p>",Bureau of Environmental Surveillance and Policy (BESP) Combined Analytic Data Set; New York City Pesticide Use Reporting System (NYCPURS)
1122,NYC Agency Use of Fungicides,Parks (Excluding Golf Course) Liquids,"<p>Sum of gallons of liquid pesticide applications made by&nbsp;the Departmant of Parks and Recreation (Parks)&nbsp;or&nbsp;its contractors that meet the following qualifications: classified as fungistat, fungicide, fungicide/fungistat, or fungicide/nematicide. Excludes products classified as disinfectant, sanitizer, microbicide, microbicide/microbistat, insect growth regulator, insecticide, miticide, or termiticide. Total excludes all applications made on NYC public golf courses.</p>",Bureau of Environmental Surveillance and Policy (BESP) Combined Analytic Data Set; New York City Pesticide Use Reporting System (NYCPURS)
1143,NYC Agency Use of Herbicides,Parks (Excluding Golf Course) Liquids,"<p>Sum of gallons of liquid pesticide applications made by&nbsp;the Departmant of Parks and Recreation (Parks)&nbsp;or&nbsp;its contractors that meet the following qualifications: classified as fungistat, fungicide, fungicide/fungistat, or fungicide/nematicide. Excludes products classified as disinfectant, sanitizer, microbicide, microbicide/microbistat, insect growth regulator, insecticide, miticide, or termiticide. Total excludes all applications made on NYC public golf courses.</p>",Bureau of Environmental Surveillance and Policy (BESP) Combined Analytic Data Set; New York City Pesticide Use Reporting System (NYCPURS)
1145,NYC Agency Use of Herbicides,Parks (Golf Course) Application Count,"<p>Total count of&nbsp;pesticide applications made on NYC public golf courses that meet the following qualifications: classified as fungistat, fungicide, fungicide/fungistat, or fungicide/nematicide. Excludes products classified as disinfectant, sanitizer, microbicide, microbicide/microbistat, insect growth regulator, insecticide, miticide, or termiticide.</p>",Bureau of Environmental Surveillance and Policy (BESP) Combined Analytic Data Set; New York City Pesticide Use Reporting System (NYCPURS)
1124,NYC Agency Use of Fungicides,Parks (Golf Course) Application Count,"<p>Total count of&nbsp;pesticide applications made on NYC public golf courses that meet the following qualifications: classified as fungistat, fungicide, fungicide/fungistat, or fungicide/nematicide. Excludes products classified as disinfectant, sanitizer, microbicide, microbicide/microbistat, insect growth regulator, insecticide, miticide, or termiticide.</p>",Bureau of Environmental Surveillance and Policy (BESP) Combined Analytic Data Set; New York City Pesticide Use Reporting System (NYCPURS)
1121,NYC Agency Use of Fungicides,Parks (Excluding Golf Course) Application Count,"<p>Total count of&nbsp;pesticide applications made by&nbsp;the Departmant of Parks and Recreation (Parks)&nbsp;or&nbsp;its contractors that meet the following qualifications: classified as fungistat, fungicide, fungicide/fungistat, or fungicide/nematicide. Excludes products classified as disinfectant, sanitizer, microbicide, microbicide/microbistat, insect growth regulator, insecticide, miticide, or termiticide. Total excludes all applications made on NYC public golf courses.</p>",Bureau of Environmental Surveillance and Policy (BESP) Combined Analytic Data Set; New York City Pesticide Use Reporting System (NYCPURS)
1142,NYC Agency Use of Herbicides,Parks (Excluding Golf Course) Application Count,"<p>Total count of&nbsp;pesticide applications made by&nbsp;the Departmant of Parks and Recreation (Parks)&nbsp;or&nbsp;its contractors that meet the following qualifications: classified as fungistat, fungicide, fungicide/fungistat, or fungicide/nematicide. Excludes products classified as disinfectant, sanitizer, microbicide, microbicide/microbistat, insect growth regulator, insecticide, miticide, or termiticide. Total excludes all applications made on NYC public golf courses.</p>",Bureau of Environmental Surveillance and Policy (BESP) Combined Analytic Data Set; New York State Pesticide Sales and Use Registry (PSUR)
1138,NYC Agency Use of Glyphosate,Parks Liquids,"<p>Sum of gallons of liquid pesticide applications made by the Department of Parks and Recreation (Parks) or&nbsp;its contractors that contain the following chemicals: Glyphosate; Glyphosate, isopropylamine salt; Glyphosate, sodium sesqui salt; Glyphosate, monoammonium salt; Glyphosate, ethanolamine salt; Glyphosate, diammonium salt; Glyphosate, dimethylammonium salt; Glyphosate, potassium salt or Glyphosate-trimesium.</p>",Bureau of Environmental Surveillance and Policy (BESP) Combined Analytic Data Set; New York City Pesticide Use Reporting System (NYCPURS)
1137,NYC Agency Use of Glyphosate,Parks Application Count,"<p>Total count of&nbsp;pesticide applications made by the Department of Parks and Recreation (Parks) or&nbsp;its contractors that contain the following chemicals: Glyphosate; Glyphosate, isopropylamine salt; Glyphosate, sodium sesqui salt; Glyphosate, monoammonium salt; Glyphosate, ethanolamine salt; Glyphosate, diammonium salt; Glyphosate, dimethylammonium salt; Glyphosate, potassium salt or Glyphosate-trimesium.</p>",Bureau of Environmental Surveillance and Policy (BESP) Combined Analytic Data Set; New York City Pesticide Use Reporting System (NYCPURS)
